"","ccode","donors","pop","pop.dens","gdp","gdp.lag","health","health.lag","pubhealth","pubtopriv","roads","cerebvas","assault","external","txp.pop","year","decom","corp","cbc","world","opt","consent.law","consent.practice","consistent","oeo","oeo2","proglib.trim","tradcon.trim","proglib.full","tradcon.full","statism","corporate","opt.na","oeo.yn","country"
"1",1,NA,17065,0.220443289300653,16774,16591,1300,1224,4.8,62.5,136.595370641664,682,21,444,0.937591561675945,NA,13,0,0.8,"Liberal","In","Informed","Informed","Yes",1,"None",-0.79,-1.08,-1.27,-1.15,0,0,"In","N","Australia"
"2",1,12.09,17284,0.223272300748461,17171,16774,1379,1300,5.4,66.8,122.251793566304,647,19,425,0.925711640823883,1991,13,0,0.8,"Liberal","In","Informed","Informed","Yes",1,"None",-0.79,-1.08,-1.27,-1.15,0,0,"In","N","Australia"
"3",1,12.35,17495,0.225997969312331,17914,17171,1455,1379,5.4,66.4,112.832237782224,630,17,406,0.914547013432409,1992,13,0,0.8,"Liberal","In","Informed","Informed","Yes",1,"None",-0.79,-1.08,-1.27,-1.15,0,0,"In","N","Australia"
"4",1,12.51,17667,0.228219841317002,18883,17914,1540,1455,5.4,65.9,110.545084055018,611,18,376,0.90564328974925,1993,13,0,0.8,"Liberal","In","Informed","Informed","Yes",1,"None",-0.79,-1.08,-1.27,-1.15,0,0,"In","N","Australia"
"5",1,10.25,17855,0.230648399089549,19849,18883,1626,1540,5.4,65.8,107.980957714926,631,17,387,0.896107532903948,1994,13,0,0.8,"Liberal","In","Informed","Informed","Yes",1,"None",-0.79,-1.08,-1.27,-1.15,0,0,"In","N","Australia"
"6",1,10.18,18072,0.233451574816373,21079,19849,1737,1626,5.5,66.7,111.609119079239,592,16,371,0.885347498893316,1995,13,0,0.8,"Liberal","In","Informed","Informed","Yes",1,"None",-0.79,-1.08,-1.27,-1.15,0,0,"In","N","Australia"
"7",1,10.59,18311,0.236538943474026,21923,21079,1846,1737,5.6,66.1,107.585604281579,576,17,395,0.873791709901152,1996,13,0,0.8,"Liberal","In","Informed","Informed","Yes",1,"None",-0.79,-1.08,-1.27,-1.15,0,0,"In","N","Australia"
"8",1,10.26,18518,0.239212940595927,22961,21923,1948,1846,5.7,67.8,95.4206717788098,525,17,385,0.864024192677395,1997,13,0,0.8,"Liberal","In","Informed","Informed","Yes",1,"None",-0.79,-1.08,-1.27,-1.15,0,0,"In","N","Australia"
"9",1,10.48,18711,0.241706087670936,24148,22961,2077,1948,5.9,68.2,93.7950937950938,516,16,410,0.855111966223077,1998,13,0,0.8,"Liberal","In","Informed","Informed","Yes",1,"None",-0.79,-1.08,-1.27,-1.15,0,0,"In","N","Australia"
"10",1,8.67,18926,0.244483427676774,25445,24148,2231,2077,6.1,69.4,93.2051146570855,493,15,409,0.84539786537039,1999,13,0,0.8,"Liberal","In","Informed","Informed","Yes",1,"None",-0.79,-1.08,-1.27,-1.15,0,0,"In","N","Australia"
"11",1,10.23,19153,0.247415782008521,26545,25445,2379,2231,6.2,68.7,94.8676447553908,474,16,393,0.835378269722759,2000,13,0,0.8,"Liberal","In","Informed","Informed","Yes",1,"None",-0.79,-1.08,-1.27,-1.15,0,0,"In","N","Australia"
"12",1,9.53,19413,0.250774425736512,27461,26545,2504,2379,6.2,68.2,89.4761242466388,449,15,367,0.824189975789419,2001,13,0,0.8,"Liberal","In","Informed","Informed","Yes",1,"None",-0.79,-1.08,-1.27,-1.15,0,0,"In","N","Australia"
"13",1,10.48,19663,0.25400389085958,28168,27461,2629,2504,6.2,68.2,87.2196511213955,424,14,341,0.813711030870162,2002,13,0,0.8,"Liberal","In","Informed","Informed","Yes",1,"None",-0.79,-1.08,-1.27,-1.15,0,0,"In","N","Australia"
"14",1,NA,NA,NA,NA,28168,2754,2629,NA,68.2,NA,NA,NA,NA,NA,NA,13,0,0.8,"Liberal","In","Informed","Informed","Yes",1,"None",-0.79,-1.08,-1.27,-1.15,0,0,"In","N","Australia"
"15",2,NA,7678,9.15573575005962,18914,17425,1344,1255,5.2,73.5,202.917426413128,953,16,614,0.651211252930451,NA,31.1,1,0.71,"Corporatist","Out","Presumed","Presumed","Yes",3,"Eurotrans",-0.31,1.26,0.35,1.44,1,1,"Out","Y","Austria"
"16",2,27.6,7755,9.24755544955879,19860,18914,1419,1344,5.2,73.4,200,942,12,590,0.644745325596389,1991,31.1,1,0.71,"Corporatist","Out","Presumed","Presumed","Yes",3,"Eurotrans",-0.31,1.26,0.35,1.44,1,1,"Out","Y","Austria"
"17",2,23.1,7841,9.35010732172669,20601,19860,1551,1419,5.5,73.5,178.931258768014,880,14,549,0.637673766101263,1992,31.1,1,0.71,"Corporatist","Out","Presumed","Presumed","Yes",3,"Eurotrans",-0.31,1.26,0.35,1.44,1,1,"Out","Y","Austria"
"18",2,26.2,7906,9.42761745766754,21119,20601,1674,1551,5.9,74.2,162.28181128257,828,13,551,0.632431065013913,1993,31.1,1,0.71,"Corporatist","Out","Presumed","Presumed","Yes",3,"Eurotrans",-0.31,1.26,0.35,1.44,1,1,"Out","Y","Austria"
"19",2,21.4,7936,9.46339136656332,21940,21119,1739,1674,5.9,74.4,168.598790322581,803,11,561,0.630040322580645,1994,31.1,1,0.71,"Corporatist","Out","Presumed","Presumed","Yes",3,"Eurotrans",-0.31,1.26,0.35,1.44,1,1,"Out","Y","Austria"
"20",2,21.5,7948,9.47770093012163,22817,21940,1865,1739,5.8,70.9,152.239557121288,774,10,527,0.629089079013588,1995,31.1,1,0.71,"Corporatist","Out","Presumed","Presumed","Yes",3,"Eurotrans",-0.31,1.26,0.35,1.44,1,1,"Out","Y","Austria"
"21",2,24.7,7959,9.49081803005008,23798,22817,1986,1865,5.8,69.7,129.036311094359,801,11,499,0.628219625581103,1996,31.1,1,0.71,"Corporatist","Out","Presumed","Presumed","Yes",3,"Eurotrans",-0.31,1.26,0.35,1.44,1,1,"Out","Y","Austria"
"22",2,19.5,7968,9.50155020271882,24364,23798,1848,1986,5.3,70,138.679718875502,770,9,470,0.627510040160643,1997,31.1,1,0.71,"Corporatist","Out","Presumed","Presumed","Yes",3,"Eurotrans",-0.31,1.26,0.35,1.44,1,1,"Out","Y","Austria"
"23",2,20.7,7977,9.51228237538755,25423,24364,1953,1848,5.4,69.7,120.722075968409,732,11,439,0.626802055910743,1998,31.1,1,0.71,"Corporatist","Out","Presumed","Presumed","Yes",3,"Eurotrans",-0.31,1.26,0.35,1.44,1,1,"Out","Y","Austria"
"24",2,25.9,7992,9.53016932983544,26513,25423,2069,1953,5.4,69.6,135.01001001001,699,8,458,0.625625625625626,1999,31.1,1,0.71,"Corporatist","Out","Presumed","Presumed","Yes",3,"Eurotrans",-0.31,1.26,0.35,1.44,1,1,"Out","Y","Austria"
"25",2,24,8012,9.55401860243263,27738,26513,2147,2069,5.4,69.6,121.817274088867,644,9,460,0.624063904143784,2000,31.1,1,0.71,"Corporatist","Out","Presumed","Presumed","Yes",3,"Eurotrans",-0.31,1.26,0.35,1.44,1,1,"Out","Y","Austria"
"26",2,23.9,8030,9.57548294777009,28457,27738,2174,2147,5.2,68.5,119.302615193026,583,9,429,0.62266500622665,2001,31.1,1,0.71,"Corporatist","Out","Presumed","Presumed","Yes",3,"Eurotrans",-0.31,1.26,0.35,1.44,1,1,"Out","Y","Austria"
"27",2,23.8,8053,9.60290961125686,28842,28457,2220,2174,5.4,69.9,118.713522910717,586,9,442,0.620886626102074,2002,31.1,1,0.71,"Corporatist","Out","Presumed","Presumed","Yes",3,"Eurotrans",-0.31,1.26,0.35,1.44,1,1,"Out","Y","Austria"
"28",2,NA,NA,NA,NA,28842,2266,2220,NA,69.9,NA,NA,NA,NA,NA,NA,31.1,1,0.71,"Corporatist","Out","Presumed","Presumed","Yes",3,"Eurotrans",-0.31,1.26,0.35,1.44,1,1,"Out","Y","Austria"
"29",3,NA,9967,30.1117824773414,18008,16848,1340,1246,NA,NA,198.254238988663,688,13,565,0.802648740844788,NA,32.4,1,0.9,"Corporatist","Out","Presumed","Presumed","No",3,"Eurotrans",0.42,1.29,0.3,1.34,0,0,"Out","Y","Belgium"
"30",3,21,10005,30.226586102719,18796,18008,1460,1340,NA,NA,187.206396801599,662,14,561,0.79960019990005,1991,32.4,1,0.9,"Corporatist","Out","Presumed","Presumed","No",3,"Eurotrans",0.42,1.29,0.3,1.34,0,0,"Out","Y","Belgium"
"31",3,20.6,10045,30.3474320241692,19444,18796,1547,1460,NA,NA,166.450970632155,646,16,547,0.79641612742658,1992,32.4,1,0.9,"Corporatist","Out","Presumed","Presumed","No",3,"Eurotrans",0.42,1.29,0.3,1.34,0,0,"Out","Y","Belgium"
"32",3,21,10085,30.4682779456193,19733,19444,1595,1547,NA,NA,164.600892414477,659,19,574,0.793257312840853,1993,32.4,1,0.9,"Corporatist","Out","Presumed","Presumed","No",3,"Eurotrans",0.42,1.29,0.3,1.34,0,0,"Out","Y","Belgium"
"33",3,22.8,10116,30.5619335347432,20732,19733,1632,1595,6,69.5,167.259786476868,615,17,584,0.790826413602214,1994,32.4,1,0.9,"Corporatist","Out","Presumed","Presumed","No",3,"Eurotrans",0.42,1.29,0.3,1.34,0,0,"Out","Y","Belgium"
"34",3,19.6,10137,30.6253776435045,21679,20732,1882,1632,6,69.5,142.941698727434,586,16,549,0.789188122718753,1995,32.4,1,0.9,"Corporatist","Out","Presumed","Presumed","No",3,"Eurotrans",0.42,1.29,0.3,1.34,0,0,"Out","Y","Belgium"
"35",3,21.2,10157,30.6858006042296,22152,21679,1981,1882,6.4,71.1,133.503987397854,585,19,523,0.78763414394014,1996,32.4,1,0.9,"Corporatist","Out","Presumed","Presumed","No",3,"Eurotrans",0.42,1.29,0.3,1.34,0,0,"Out","Y","Belgium"
"36",3,22.5,10181,30.7583081570997,22936,22152,1967,1981,6,69.8,133.975051566644,574,17,523,0.785777428543365,1997,32.4,1,0.9,"Corporatist","Out","Presumed","Presumed","No",3,"Eurotrans",0.42,1.29,0.3,1.34,0,0,"Out","Y","Belgium"
"37",3,19.4,10203,30.8247734138973,23738,22936,2041,1967,6,70.2,147.015583651867,563,15,523,0.784083112809958,1998,32.4,1,0.9,"Corporatist","Out","Presumed","Presumed","No",3,"Eurotrans",0.42,1.29,0.3,1.34,0,0,"Out","Y","Belgium"
"38",3,25.2,10226,30.8942598187311,24521,23738,2139,2041,6.2,70.6,136.61255622922,552,13,523,0.782319577547428,1999,32.4,1,0.9,"Corporatist","Out","Presumed","Presumed","No",3,"Eurotrans",0.42,1.29,0.3,1.34,0,0,"Out","Y","Belgium"
"39",3,25.6,10251,30.9697885196375,25991,24521,2288,2139,6.2,70.5,143.400643839625,541,11,523,0.780411667154424,2000,32.4,1,0.9,"Corporatist","Out","Presumed","Presumed","No",3,"Eurotrans",0.42,1.29,0.3,1.34,0,0,"Out","Y","Belgium"
"40",3,22.2,10287,31.0785498489426,27113,25991,2441,2288,6.4,71.4,144.454165451541,530,9,523,0.777680567706814,2001,32.4,1,0.9,"Corporatist","Out","Presumed","Presumed","No",3,"Eurotrans",0.42,1.29,0.3,1.34,0,0,"Out","Y","Belgium"
"41",3,21.7,10333,31.2175226586103,27652,27113,2515,2441,6.5,71.2,145.359527726701,519,7,523,0.774218523178167,2002,32.4,1,0.9,"Corporatist","Out","Presumed","Presumed","No",3,"Eurotrans",0.42,1.29,0.3,1.34,0,0,"Out","Y","Belgium"
"42",3,NA,NA,NA,NA,27652,2589,2515,NA,71.2,NA,NA,NA,NA,NA,NA,32.4,1,0.9,"Corporatist","Out","Presumed","Presumed","No",3,"Eurotrans",0.42,1.29,0.3,1.34,0,0,"Out","Y","Belgium"
"43",4,NA,27701,0.277826532178071,19044,18699,1714,1600,6.7,74.5,143.063427313093,476,20,469,1.11909317353164,NA,22,0,0.38,"Liberal","In","Informed","Informed","Yes",2,"None",-0.58,-1.11,-0.35,-0.23,0,0,"In","N","Canada"
"44",4,14.7,28031,0.281136259466572,19101,19044,1855,1714,7.2,74.6,131.639970033178,462,22,463,1.1059184474332,1991,22,0,0.38,"Liberal","In","Informed","Informed","Yes",2,"None",-0.58,-1.11,-0.35,-0.23,0,0,"In","N","Canada"
"45",4,12.6,28377,0.284606458381182,19590,19101,1959,1855,7.4,74.1,123.37456390739,449,20,436,1.09243401346161,1992,22,0,0.38,"Liberal","In","Informed","Informed","Yes",2,"None",-0.58,-1.11,-0.35,-0.23,0,0,"In","N","Canada"
"46",4,14.1,28703,0.287876067763156,20269,19590,2002,1959,7.2,72.7,125.94502316831,463,17,440,1.08002647806849,1993,22,0,0.38,"Liberal","In","Informed","Informed","Yes",2,"None",-0.58,-1.11,-0.35,-0.23,0,0,"In","N","Canada"
"47",4,13.9,29036,0.291215883481552,21428,20269,2039,2002,6.9,72,112.377737980438,444,17,422,1.06764017082243,1994,22,0,0.38,"Liberal","In","Informed","Informed","Yes",2,"None",-0.58,-1.11,-0.35,-0.23,0,0,"In","N","Canada"
"48",4,14.8,29354,0.294405257050471,22292,21428,2044,2039,6.5,71.4,114.158206717994,434,16,424,1.05607412959052,1995,22,0,0.38,"Liberal","In","Informed","Informed","Yes",2,"None",-0.58,-1.11,-0.35,-0.23,0,0,"In","N","Canada"
"49",4,14,29672,0.29759463061939,22764,22292,2039,2044,6.3,70.9,104.172283634403,432,17,417,1.04475599892154,1996,22,0,0.38,"Liberal","In","Informed","Informed","Yes",2,"None",-0.58,-1.11,-0.35,-0.23,0,0,"In","N","Canada"
"50",4,14.2,29987,0.300753915758414,23949,22764,2130,2039,6.2,70.1,102.177610297796,430,14,399,1.03378130523227,1997,22,0,0.38,"Liberal","In","Informed","Informed","Yes",2,"None",-0.58,-1.11,-0.35,-0.23,0,0,"In","N","Canada"
"51",4,13.7,30248,0.303371609159319,25013,23949,2291,2130,6.5,70.6,97.4940491933351,407,15,398,1.02486114784449,1998,22,0,0.38,"Liberal","In","Informed","Informed","Yes",2,"None",-0.58,-1.11,-0.35,-0.23,0,0,"In","N","Canada"
"52",4,13.8,30499,0.305889007793906,26658,25013,2400,2291,6.3,70.3,97.8720613790616,387,15,411,1.01642676809076,1999,22,0,0.38,"Liberal","In","Informed","Informed","Yes",2,"None",-0.58,-1.11,-0.35,-0.23,0,0,"In","N","Canada"
"53",4,15.3,30770,0.30860699596113,28472,26658,2541,2400,6.3,70.4,95.0926226844329,378,15,382,1.00747481312967,2000,22,0,0.38,"Liberal","In","Informed","Informed","Yes",2,"None",-0.58,-1.11,-0.35,-0.23,0,0,"In","N","Canada"
"54",4,13.5,31111,0.312027047492581,29235,28472,2743,2541,6.6,70.1,89.2931760470573,369,15,353,0.99643213011475,2001,22,0,0.38,"Liberal","In","Informed","Informed","Yes",2,"None",-0.58,-1.11,-0.35,-0.23,0,0,"In","N","Canada"
"55",4,13,31414,0.315065978912022,30429,29235,2931,2743,6.7,69.9,83.7206341121793,360,15,324,0.986821162538995,2002,22,0,0.38,"Liberal","In","Informed","Informed","Yes",2,"None",-0.58,-1.11,-0.35,-0.23,0,0,"In","N","Canada"
"56",4,NA,NA,NA,NA,30429,3119,2931,NA,69.8,NA,NA,NA,NA,NA,NA,22,0,0.38,"Liberal","In","Informed","Informed","Yes",2,"None",-0.58,-1.11,-0.35,-0.23,0,0,"In","N","Canada"
"57",5,NA,5141,11.9308424228359,18285,17460,1554,1506,7,82.7,123.322310834468,699,10,582,0.778058743435129,NA,38.1,1,0.74,"SocDem","In","Informed","Informed","Yes",10,"Scandiatrans",1.44,-1.02,1.46,-0.82,0,1,"In","Y","Denmark"
"58",5,11.7,5154,11.9610118356927,19126,18285,1603,1554,7,83.5,117.578579743888,688,13,572,0.776096235933256,1991,38.1,1,0.74,"SocDem","In","Informed","Informed","Yes",10,"Scandiatrans",1.44,-1.02,1.46,-0.82,0,1,"In","Y","Denmark"
"59",5,16.1,5171,12.0004641448132,19644,19126,1660,1603,7,83.2,111.58383291433,691,13,565,0.7735447689035,1992,38.1,1,0.74,"SocDem","In","Informed","Informed","Yes",10,"Scandiatrans",1.44,-1.02,1.46,-0.82,0,1,"In","Y","Denmark"
"60",5,14.7,5189,12.0422371779995,20056,19644,1757,1660,7.2,82.7,107.727885912507,714,12,574,0.770861437656581,1993,38.1,1,0.74,"SocDem","In","Informed","Informed","Yes",10,"Scandiatrans",1.44,-1.02,1.46,-0.82,0,1,"In","Y","Denmark"
"61",5,12.9,5206,12.08168948712,21494,20056,1834,1757,7,82.2,104.878985785632,646,13,548,0.768344218209758,1994,38.1,1,0.74,"SocDem","In","Informed","Informed","Yes",10,"Scandiatrans",1.44,-1.02,1.46,-0.82,0,1,"In","Y","Denmark"
"62",5,12.9,5233,12.1443490368995,22462,21494,1843,1834,6.8,82.5,111.217274985668,655,11,535,0.764379896808714,1995,38.1,1,0.74,"SocDem","In","Informed","Informed","Yes",10,"Scandiatrans",1.44,-1.02,1.46,-0.82,0,1,"In","Y","Denmark"
"63",5,14,5263,12.2139707588768,23548,22462,1949,1843,6.8,82.4,97.6629298878966,650,11,499,0.760022800684021,1996,38.1,1,0.74,"SocDem","In","Informed","Informed","Yes",10,"Scandiatrans",1.44,-1.02,1.46,-0.82,0,1,"In","Y","Denmark"
"64",5,11.4,5285,12.2650266883268,24676,23548,2028,1949,6.8,82.3,92.5260170293283,606,11,506,0.75685903500473,1997,38.1,1,0.74,"SocDem","In","Informed","Informed","Yes",10,"Scandiatrans",1.44,-1.02,1.46,-0.82,0,1,"In","Y","Denmark"
"65",5,11,5304,12.309120445579,25537,24676,2141,2028,6.9,82,94.079939668175,580,9,482,0.754147812971342,1998,38.1,1,0.74,"SocDem","In","Informed","Informed","Yes",10,"Scandiatrans",1.44,-1.02,1.46,-0.82,0,1,"In","Y","Denmark"
"66",5,14.3,5322,12.3508934787654,26985,25537,2297,2141,7,82.2,96.5802329951146,588,11,495,0.751597143930853,1999,38.1,1,0.74,"SocDem","In","Informed","Informed","Yes",10,"Scandiatrans",1.44,-1.02,1.46,-0.82,0,1,"In","Y","Denmark"
"67",5,12.5,5340,12.3926665119517,28146,26985,2351,2297,6.9,82.5,97.5655430711611,596,13,508,0.749063670411985,2000,38.1,1,0.74,"SocDem","In","Informed","Informed","Yes",10,"Scandiatrans",1.44,-1.02,1.46,-0.82,0,1,"In","Y","Denmark"
"68",5,12.9,5359,12.436760269204,29203,28146,2523,2353,7.1,82.6,80.4254525097966,604,15,521,0.746407911923866,2001,38.1,1,0.74,"SocDem","In","Informed","Informed","Yes",10,"Scandiatrans",1.44,-1.02,1.46,-0.82,0,1,"In","Y","Denmark"
"69",5,12.7,5376,12.4762125783244,29228,29203,2580,2520,7.3,83.1,86.1235119047619,612,17,534,0.744047619047619,2002,38.1,1,0.74,"SocDem","In","Informed","Informed","Yes",10,"Scandiatrans",1.44,-1.02,1.46,-0.82,0,1,"In","Y","Denmark"
"70",5,NA,NA,NA,NA,29228,2637,2583,NA,83.1,NA,NA,NA,NA,NA,NA,38.1,1,0.74,"SocDem","In","Informed","Informed","Yes",10,"Scandiatrans",1.44,-1.02,1.46,-0.82,0,1,"In","Y","Denmark"
"71",6,NA,4986,1.47449356794322,18025,17436,1414,1268,6.3,80.9,130.16446048937,957,30,853,0.601684717208183,NA,29.2,1,0.95,"SocDem",NA,"Presumed","Informed","No",10,"Scandiatrans",0.55,0.28,0.52,0.53,0,1,NA,"Y","Finland"
"72",6,16.8,5014,1.48277391690078,17281,18025,1547,1414,7.3,81.1,126.047068209015,939,28,823,0.598324690865576,1991,29.2,1,0.95,"SocDem",NA,"Presumed","Informed","No",10,"Scandiatrans",0.55,0.28,0.52,0.53,0,1,NA,"Y","Finland"
"73",6,19.4,5042,1.49105426585835,16943,17281,1542,1547,7.2,79.6,119.198730662436,886,32,792,0.595001983339944,1992,29.2,1,0.95,"SocDem",NA,"Presumed","Informed","No",10,"Scandiatrans",0.55,0.28,0.52,0.53,0,1,NA,"Y","Finland"
"74",6,19.6,5066,1.49815170782197,17082,16943,1421,1542,6.3,76.1,95.5388866956178,932,31,741,0.592183181997631,1993,29.2,1,0.95,"SocDem",NA,"Presumed","Informed","No",10,"Scandiatrans",0.55,0.28,0.52,0.53,0,1,NA,"Y","Finland"
"75",6,20,5088,1.50465769628863,17993,17082,1390,1421,5.8,75.5,94.3396226415094,830,29,738,0.589622641509434,1994,29.2,1,0.95,"SocDem",NA,"Presumed","Informed","No",10,"Scandiatrans",0.55,0.28,0.52,0.53,0,1,NA,"Y","Finland"
"76",6,19.4,5108,1.51057223125832,19031,17993,1428,1390,5.7,75.6,86.335160532498,875,28,737,0.587314017227878,1995,29.2,1,0.95,"SocDem",NA,"Presumed","Informed","No",10,"Scandiatrans",0.55,0.28,0.52,0.53,0,1,NA,"Y","Finland"
"77",6,19.5,5125,1.51559958598255,19842,19031,1517,1428,5.8,75.8,78.8292682926829,736,32,686,0.585365853658537,1996,29.2,1,0.95,"SocDem",NA,"Presumed","Informed","No",10,"Scandiatrans",0.55,0.28,0.52,0.53,0,1,NA,"Y","Finland"
"78",6,16.3,5140,1.52003548720982,21691,19842,1580,1517,5.5,76.1,85.2140077821012,721,25,701,0.583657587548638,1997,29.2,1,0.95,"SocDem",NA,"Presumed","Informed","No",10,"Scandiatrans",0.55,0.28,0.52,0.53,0,1,NA,"Y","Finland"
